Iter:45, max:264.2109069824219, mean:6.682864189147949, min:-65.59305572509766, std:16.250213623046875
Iter:46, max:240.343994140625, mean:5.320590972900391, min:-90.73949432373047, std:20.12320327758789
Iter:47, max:111.6420669555664, mean:6.241522312164307, min:-186.37005615234375, std:16.92314338684082
Iter:48, max:192.501708984375, mean:8.457380294799805, min:-133.0371856689453, std:18.629825592041016
Iter:49, max:143.81912231445312, mean:6.459816932678223, min:-86.2453842163086, std:18.587005615234375
Iter:50, max:204.50344848632812, mean:6.5038652420043945, min:-119.5675277709961, std:20.930831909179688
Iter:51, max:138.10531616210938, mean:8.313520431518555, min:-116.6103515625, std:19.605175018310547
Iter:52, max:177.44204711914062, mean:8.669380187988281, min:-138.9825439453125, std:22.929784774780273
Iter:53, max:177.7645263671875, mean:12.132339477539062, min:-94.10594177246094, std:22.13662338256836
Iter:54, max:207.57760620117188, mean:15.440191268920898, min:-174.8875274658203, std:26.20062828063965
Iter:55, max:222.78477478027344, mean:16.37664031982422, min:-167.4684600830078, std:29.684186935424805
Iter:56, max:358.5015563964844, mean:19.26314926147461, min:-148.73486328125, std:33.59556579589844
Iter:57, max:249.49386596679688, mean:23.382064819335938, min:-118.85704040527344, std:33.58301544189453
Iter:58, max:310.61053466796875, mean:29.72226905822754, min:-122.69934844970703, std:38.318912506103516
Iter:59, max:221.9442596435547, mean:34.779266357421875, min:-76.1546859741211, std:40.273040771484375
Iter:60, max:219.118896484375, mean:36.00263595581055, min:-194.1446075439453, std:46.5537109375
Iter:61, max:251.64501953125, mean:47.30818176269531, min:-179.0498809814453, std:50.821876525878906
Iter:62, max:321.7456970214844, mean:60.16778564453125, min:-92.10400390625, std:61.00077438354492
Iter:63, max:332.26904296875, mean:67.94013977050781, min:-112.64486694335938, std:64.74091339111328
Iter:64, max:435.2614440917969, mean:88.13754272460938, min:-131.7187042236328, std:71.7310791015625
Iter:65, max:438.4147033691406, mean:107.50161743164062, min:-81.61410522460938, std:78.08515930175781
Iter:66, max:469.9659423828125, mean:123.80953979492188, min:-95.26075744628906, std:87.6071548461914
Iter:67, max:490.1142883300781, mean:155.164794921875, min:-82.91541290283203, std:94.35340881347656
Iter:68, max:557.1039428710938, mean:190.946044921875, min:-96.01204681396484, std:102.28105163574219
Iter:69, max:511.43157958984375, mean:223.04666137695312, min:-55.40335464477539, std:105.91069793701172
Iter:70, max:592.0501098632812, mean:266.95098876953125, min:-28.950899124145508, std:107.77771759033203
Iter:71, max:612.6768798828125, mean:303.629150390625, min:-61.65095138549805, std:119.48252868652344
Iter:72, max:706.7067260742188, mean:354.1919250488281, min:-83.43817138671875, std:119.53071594238281
Iter:73, max:768.5132446289062, mean:403.5787353515625, min:-56.879310607910156, std:111.56366729736328
Iter:74, max:731.1429443359375, mean:450.4636535644531, min:-44.55399703979492, std:105.90292358398438
Iter:75, max:813.2918701171875, mean:492.8251953125, min:-66.90419006347656, std:99.05598449707031
Iter:76, max:771.9075317382812, mean:529.959716796875, min:-64.92221069335938, std:95.74776458740234
Iter:77, max:866.416748046875, mean:556.9319458007812, min:-51.33869552612305, std:99.708984375
Iter:78, max:826.8287963867188, mean:577.8999633789062, min:-40.898353576660156, std:100.03532409667969
Iter:79, max:886.34521484375, mean:589.157470703125, min:9.208765983581543, std:96.8909683227539
Iter:80, max:915.5250854492188, mean:591.9068603515625, min:-58.47986602783203, std:119.97598266601562
Iter:81, max:928.846435546875, mean:590.3546142578125, min:-59.33378219604492, std:122.78438568115234
Iter:82, max:926.5429077148438, mean:590.4107055664062, min:-104.26055145263672, std:137.68557739257812
Iter:83, max:974.5648193359375, mean:586.5011596679688, min:-92.25978088378906, std:151.5806427001953
Iter:84, max:911.9120483398438, mean:580.908935546875, min:-18.816715240478516, std:151.63818359375
Iter:85, max:976.4901123046875, mean:575.6387939453125, min:-86.01458740234375, std:158.19888305664062
Iter:86, max:958.62646484375, mean:574.83447265625, min:-117.83433532714844, std:176.79055786132812
Iter:87, max:948.243896484375, mean:568.4873657226562, min:-70.956298828125, std:174.88055419921875
Iter:88, max:1014.9483032226562, mean:567.5738525390625, min:-91.20941925048828, std:185.54852294921875
Iter:89, max:1005.13427734375, mean:569.135009765625, min:-185.66268920898438, std:182.89215087890625
Iter:90, max:1110.5345458984375, mean:577.208740234375, min:-104.39383697509766, std:182.48667907714844
Iter:91, max:960.2990112304688, mean:590.6542358398438, min:-98.994384765625, std:176.04718017578125
Iter:92, max:996.94970703125, mean:602.081787109375, min:-73.84661102294922, std:168.43064880371094
Iter:93, max:988.9357299804688, mean:612.785400390625, min:-96.89170837402344, std:187.6007537841797
Iter:94, max:1008.2455444335938, mean:632.2907104492188, min:-256.97186279296875, std:171.02667236328125
Iter:95, max:1064.2733154296875, mean:650.8585205078125, min:-45.034095764160156, std:168.16529846191406
Iter:96, max:1002.760009765625, mean:672.1889038085938, min:-183.0669708251953, std:164.36599731445312
Iter:97, max:1086.819580078125, mean:698.935791015625, min:-15.522790908813477, std:149.75234985351562
Iter:98, max:1058.9656982421875, mean:715.7542114257812, min:-203.3463592529297, std:151.7366485595703
Iter:99, max:1089.8634033203125, mean:725.611572265625, min:-41.12574768066406, std:149.7226104736328
Iter:100, max:1054.2568359375, mean:748.0940551757812, min:-106.34951782226562, std:133.05917358398438
Iter:101, max:1118.390869140625, mean:753.3290405273438, min:-130.96017456054688, std:139.66603088378906
Iter:102, max:1138.0015869140625, mean:791.125244140625, min:-63.17606735229492, std:121.77747344970703
Iter:103, max:1142.722412109375, mean:792.80322265625, min:-67.45671844482422, std:128.6124725341797
Iter:104, max:1169.8470458984375, mean:818.93310546875, min:216.56549072265625, std:121.07894897460938
Iter:105, max:1170.4814453125, mean:835.0379638671875, min:329.894775390625, std:116.18868255615234
Iter:106, max:1260.4913330078125, mean:838.6636352539062, min:110.88478088378906, std:122.89644622802734
Iter:107, max:1175.1312255859375, mean:864.3704833984375, min:220.8899688720703, std:119.48188781738281
Iter:108, max:1219.631591796875, mean:875.861572265625, min:32.2711296081543, std:117.11500549316406
Iter:109, max:1192.0367431640625, mean:869.122314453125, min:-111.5908432006836, std:123.58380889892578
Iter:110, max:1209.1778564453125, mean:883.35546875, min:349.4884948730469, std:111.36902618408203
Iter:111, max:1189.5406494140625, mean:899.1566162109375, min:244.0331573486328, std:117.47222137451172
Iter:112, max:1255.908935546875, mean:914.37353515625, min:382.7086486816406, std:109.47689819335938
Iter:113, max:1216.8055419921875, mean:928.418701171875, min:509.5317687988281, std:108.90943908691406
Iter:114, max:1285.448486328125, mean:933.076171875, min:517.8340454101562, std:111.596435546875
Iter:115, max:1287.81005859375, mean:946.8377685546875, min:520.4317016601562, std:104.52320098876953
Iter:116, max:1338.248291015625, mean:958.7630615234375, min:-289.1580810546875, std:115.17144775390625
Iter:117, max:1293.54248046875, mean:958.5816650390625, min:572.8392333984375, std:110.71974182128906
Iter:118, max:1290.4495849609375, mean:972.4242553710938, min:286.4645080566406, std:108.68663787841797
Iter:119, max:1403.6768798828125, mean:977.9471435546875, min:660.99609375, std:109.01686096191406
Iter:120, max:1311.031494140625, mean:979.9495849609375, min:446.2855529785156, std:113.47515869140625
Iter:121, max:1364.3831787109375, mean:986.7888793945312, min:83.29568481445312, std:118.83638763427734
Iter:122, max:1455.2991943359375, mean:982.3436279296875, min:338.03619384765625, std:114.04145812988281
Iter:123, max:1336.439208984375, mean:990.31005859375, min:168.44140625, std:119.16236877441406
Iter:124, max:1346.5634765625, mean:995.4344482421875, min:275.77972412109375, std:121.03015899658203
Iter:125, max:1319.286865234375, mean:987.3446044921875, min:326.41180419921875, std:120.44022369384766
Iter:126, max:1302.962158203125, mean:1002.5028076171875, min:444.5450134277344, std:116.91621398925781
Iter:127, max:1299.9837646484375, mean:1005.6177978515625, min:-34.27190017700195, std:129.09532165527344
Iter:128, max:1337.263671875, mean:1007.392333984375, min:523.3160400390625, std:125.64319610595703
Iter:129, max:1389.800537109375, mean:1021.4774780273438, min:-274.22930908203125, std:142.3542938232422
Iter:130, max:1393.403076171875, mean:1017.3533935546875, min:-125.77267456054688, std:138.9749755859375
Iter:131, max:1450.2271728515625, mean:1034.26416015625, min:502.6219177246094, std:128.5802001953125
Iter:132, max:1449.8385009765625, mean:1033.8885498046875, min:241.75180053710938, std:146.26255798339844
Iter:133, max:1448.848876953125, mean:1046.92138671875, min:443.41290283203125, std:131.60069274902344
Iter:134, max:1473.695556640625, mean:1060.1854248046875, min:122.97032928466797, std:148.7942352294922
Iter:135, max:1539.5384521484375, mean:1079.64697265625, min:387.86968994140625, std:141.01556396484375
Iter:136, max:1453.64501953125, mean:1094.7305908203125, min:130.91000366210938, std:144.8688507080078
Iter:137, max:1486.1898193359375, mean:1109.45751953125, min:107.42827606201172, std:142.19004821777344
Iter:138, max:1494.808837890625, mean:1112.151611328125, min:255.99615478515625, std:142.09329223632812
Iter:139, max:1479.138427734375, mean:1126.990966796875, min:-398.1069030761719, std:158.22943115234375
Iter:140, max:1527.5006103515625, mean:1148.6505126953125, min:-204.4768524169922, std:146.93063354492188
Iter:141, max:1486.2528076171875, mean:1153.974853515625, min:-271.8457946777344, std:145.0079803466797
Iter:142, max:1521.56591796875, mean:1167.127685546875, min:454.7193908691406, std:134.81295776367188
Iter:143, max:1527.513427734375, mean:1182.40869140625, min:371.8320617675781, std:138.47569274902344
Iter:144, max:1582.912109375, mean:1198.9237060546875, min:-120.31302642822266, std:137.9693145751953
Iter:145, max:1641.5904541015625, mean:1217.533447265625, min:242.23423767089844, std:135.2559051513672
Iter:146, max:1592.4874267578125, mean:1231.4359130859375, min:355.52862548828125, std:131.58148193359375
Iter:147, max:1654.479248046875, mean:1252.7784423828125, min:-152.12646484375, std:128.21566772460938
Iter:148, max:1598.9417724609375, mean:1252.2720947265625, min:-392.4813232421875, std:141.75457763671875
Iter:149, max:1640.5460205078125, mean:1265.585205078125, min:540.0616455078125, std:121.0798568725586
Iter:150, max:1686.2247314453125, mean:1285.5074462890625, min:586.4281005859375, std:118.61738586425781
Iter:151, max:1631.44287109375, mean:1285.2125244140625, min:747.9111328125, std:115.6537857055664
Iter:152, max:1651.9361572265625, mean:1299.14599609375, min:505.46759033203125, std:116.02582550048828
Iter:153, max:1730.5447998046875, mean:1305.175048828125, min:445.9412841796875, std:122.93359375
Iter:154, max:1654.41064453125, mean:1315.7574462890625, min:914.1404418945312, std:112.20697784423828
Iter:155, max:1618.9534912109375, mean:1318.00927734375, min:810.5747680664062, std:115.3176040649414
Iter:156, max:1639.686279296875, mean:1328.30224609375, min:912.0444946289062, std:111.55988311767578
Iter:157, max:1676.889404296875, mean:1325.205810546875, min:829.5343017578125, std:110.80459594726562
Iter:158, max:1636.2392578125, mean:1343.64794921875, min:967.1814575195312, std:108.96467590332031
Iter:159, max:1757.5538330078125, mean:1359.0078125, min:986.5166625976562, std:105.78339385986328
Iter:160, max:1731.162109375, mean:1359.395751953125, min:962.3411254882812, std:109.84266662597656
Iter:161, max:1737.7528076171875, mean:1358.8814697265625, min:976.4320068359375, std:114.6694107055664
Iter:162, max:1705.8759765625, mean:1374.3382568359375, min:990.8070678710938, std:110.9436264038086
